1,2,3,4,,121202.00,PZ,1.78,13996
,,,,,121202.00,PZ,1.78,201
1,2,3,4,27501130525090,121202.00,PZ,1.78,422,751
1,2,3,4,27501130525090,121202.00,PZ,1.78,333,592.74
1,2,3,4,27501130525090,2010021601A,121202.00,PZ,1.78,555,987.90
1,2,3,4,27501130525090,2010021601A,121202.00,PZ,1.78,930,0.00
1,2,3,4,27501130525090,2010021601A,121202.00,PZ,1.78,550,0.00
1,2,3,4,27501130525090,2010021601A,121202.00,PZ,1.78,660,1174.80
1,2,3,4,27501130525090,2010021601A,121202.00,PZ,1.78,0,0.00
1,2,3,4,27501130525090,2010021601A,121202.00,PZ,1.78,100,178.00
,,,,27501130525090,2010021601A,121202.00,PZ,1.78,220,391.60
1,2,3,4,27501130525090,2010021601A,121202.00,PZ,1.78,0,0.00
1,2,3,4,27501130525090,2010021601A,121202.00,PZ,1.78,0,0.00
1,2,3,4,27501130525090,2010021601A,121202.00,PZ,1.78,1010,1797.80
1,2,3,4,27501130525090,2010021601A,121202.00,PZ,1.78,404,719.12
1,2,3,4,27501130525090,2010021601A,121202.00,PZ,1.78,8088,14396.64
1,2,3,4,27501130525090,2010021601A,121202.00,PZ,1.78,11575,20603.50
,,,,27501130525090,2010021601A,121202.00,PZ,1.78,6060,10786.80
1,2,3,4,27501130525090,2010021601A,121202.00,PZ,1.78,9090,16180.20
,,,,27501130525090,2010021601A,121202.00,PZ,1.78,17500,31150.00
